id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5883347,River & Ocean– Cozy independent Studio,15979825,Gabriela & Carina,PORTO,Lordelo do Ouro e Massarelos,41.15437,-8.64793,Entire home/apt,61,3,227,2024-09-01,1.98,7,242,38,45618/AL
5901450,Good vibe apartment center Porto:),30650556,Trindade,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15454,-8.60968,Entire home/apt,65,3,152,2023-10-08,1.36,1,256,1,49994/AL
5904279,Douro's romantic apartment,30666076,Ines,PORTO,Lordelo do Ouro e Massarelos,41.1469,-8.62967,Entire home/apt,,3,24,2020-05-01,0.23,1,0,0,26341/AL
5908623,ORM - Ribeira Apartment,19887538,Oporto Rental Management,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14132,-8.61381,Entire home/apt,113,2,452,2024-08-28,3.94,50,302,24,34099/AL
5927865,T2 Recuado praia,28801778,Jorge,VILA DO CONDE,Mindelo,41.30802,-8.73684,Entire home/apt,64,5,46,2024-08-19,0.41,1,211,9,44674/AL
5930468,Porto Downtown River 1,12412664,Dolores,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14466,-8.61865,Entire home/apt,108,3,264,2024-07-23,2.31,4,159,23,28995/AL
5946303,GuestReady - Belle Epoque Apartments,15809545,Olivia,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14218,-8.61437,Entire home/apt,67,1,232,2024-09-10,2.03,7,308,50,14519 AL
5946314,Casa de Praia,30869655,Carlos,PÓVOA DE VARZIM,"AVer-o-Mar, Amorim e Terroso",41.40713,-8.78183,Entire home/apt,114,2,151,2024-09-07,1.32,1,147,16,
5952517,Apartment with pool view,30900606,Daniela,PORTO,Bonfim,41.15903,-8.59425,Entire home/apt,155,2,160,2024-08-08,1.41,2,47,8,16825/AL
5962998,Douro Sunset House,30953463,Ricardo,VILA NOVA DE GAIA,Santa Marinha e São Pedro da Afurada,41.13696,-8.61101,Entire home/apt,,2,351,2024-08-30,3.08,1,327,29,41012/AL
5965858,ALMADA APARTMENT DELUXE,24109574,Maria Joao,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15129,-8.61199,Entire home/apt,90,2,93,2024-08-20,0.81,4,317,8,131160/AL
5975414,Portodouro - Santa Catarina T1,28504504,José,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15312,-8.60487,Entire home/apt,70,3,74,2024-08-10,0.65,9,351,11,7133/AL
5978381,OX Apartments- Taipas 8,1630185,Ox,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14312,-8.6185,Entire home/apt,119,1,18,2024-07-18,0.16,14,11,1,5929/AL
5979282,Charming Apartement,31041653,Jorge,VILA NOVA DE GAIA,Madalena,41.10269,-8.65385,Entire home/apt,164,2,45,2024-08-09,0.45,1,363,3,5979282
5984513,"House at  Praia  Granja,  70 metros from the beach",29982944,Denir,VILA NOVA DE GAIA,São Félix da Marinha,41.04017,-8.64791,Private room,59,2,9,2023-09-03,0.08,1,364,0,
5998549,Beach House (Plage/Praia) Aguda PRT,11619726,Elisa,VILA NOVA DE GAIA,Arcozelo,41.04893,-8.65438,Entire home/apt,110,2,155,2024-08-26,1.37,3,333,17,85162/AL
5998995,Liiiving in Porto | Garden Pool House,30907275,Liiiving,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.157422,-8.6759408,Entire home/apt,170,2,44,2024-08-11,0.39,118,233,5,78404/AL
6004502,Suite Prestige - Bedroom with private bathroom,31169881,Óscar E Cris,PORTO,Lordelo do Ouro e Massarelos,41.15473,-8.66262,Private room,,2,13,2019-08-20,0.15,1,0,0,
6004674,Loft Almada 4 guests,24109574,Maria Joao,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15129,-8.61199,Entire home/apt,101,2,46,2024-08-17,0.40,4,162,5,210947/AL
6011027,Feel Porto Ribeira Vintage Duplex,2228036,Rui,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.14116,-8.61329,Entire home/apt,750,1,172,2024-08-28,1.52,102,306,26,26386/AL
6017900,Design Sea House,31237141,João - Rita,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.15483,-8.67693,Entire home/apt,119,2,197,2024-08-30,1.73,7,323,13,50893/AL
6025752,Vintage Apt I 10-12 People - 2 Free Parking,31222173,Marta,PORTO,Bonfim,41.155888,-8.602356,Entire home/apt,263,2,117,2023-04-13,1.02,3,273,0,24177/AL
6027245,Portodouro - Santa Catarina T8,28504504,José,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.15312,-8.60487,Entire home/apt,141,3,42,2024-08-24,0.37,9,365,3,6701/AL
